Data:  2015/11/24
Czas:  1:58:37


liczba pomiarow=1882
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
27.041,4.427,4.395,-0.409,0.403,0.414,0.397,0.403,
27.098,4.404,4.339,-0.411,0.405,0.417,0.399,0.405,
27.990,4.443,4.399,-0.417,0.411,0.423,0.406,0.412,
27.460,4.446,4.395,-0.425,0.420,0.431,0.414,0.419,
26.410,4.368,4.333,-0.429,0.423,0.436,0.417,0.425,
26.534,4.335,4.286,-0.432,0.426,0.438,0.420,0.427,
27.365,4.380,4.313,-0.437,0.432,0.445,0.426,0.432,
27.432,4.405,4.365,-0.446,0.442,0.454,0.437,0.442,
26.555,4.362,4.277,-0.453,0.448,0.461,0.443,0.449,
25.716,4.310,4.238,-0.454,0.451,0.464,0.446,0.452,
26.084,4.281,4.220,-0.457,0.453,0.466,0.447,0.454,
26.718,4.318,4.273,-0.460,0.458,0.471,0.452,0.458,
26.747,4.329,4.270,-0.468,0.467,0.480,0.461,0.467,
25.441,4.281,4.198,-0.471,0.470,0.483,0.463,0.470,
25.621,4.251,4.188,-0.472,0.471,0.485,0.464,0.473,
26.469,4.280,4.233,-0.476,0.476,0.490,0.470,0.476,
26.943,4.327,4.274,-0.485,0.486,0.500,0.480,0.486,
25.808,4.288,4.216,-0.493,0.495,0.508,0.488,0.495,
25.286,4.235,4.180,-0.495,0.497,0.510,0.489,0.496,
25.256,4.211,4.154,-0.497,0.499,0.512,0.491,0.499,
25.953,4.228,4.139,-0.501,0.503,0.517,0.495,0.503,
26.122,4.260,4.193,-0.509,0.512,0.526,0.506,0.512,
25.099,4.216,4.185,-0.513,0.516,0.530,0.511,0.516,
24.782,4.191,4.105,-0.515,0.518,0.532,0.512,0.517,
25.782,4.200,4.144,-0.518,0.522,0.536,0.517,0.522,
26.111,4.243,4.205,-0.526,0.531,0.544,0.526,0.530,
25.561,4.235,4.166,-0.534,0.539,0.553,0.534,0.538,
24.543,4.185,4.081,-0.536,0.541,0.556,0.536,0.540,
25.020,4.160,4.097,-0.538,0.543,0.558,0.537,0.542,
25.319,4.164,4.091,-0.542,0.546,0.561,0.540,0.546,
25.959,4.215,4.148,-0.550,0.555,0.569,0.549,0.553,
24.708,4.183,4.142,-0.554,0.560,0.573,0.554,0.558,
24.752,4.154,4.094,-0.556,0.561,0.575,0.554,0.560,
25.265,4.159,4.088,-0.559,0.564,0.578,0.558,0.564,
25.891,4.205,4.143,-0.565,0.573,0.586,0.566,0.570,
25.613,4.216,4.144,-0.574,0.582,0.596,0.576,0.580,
24.943,4.163,4.046,-0.575,0.585,0.599,0.578,0.583,
24.675,4.138,4.084,-0.577,0.587,0.601,0.580,0.585,
25.223,4.137,4.079,-0.579,0.590,0.604,0.583,0.588,
25.478,4.182,4.109,-0.587,0.599,0.612,0.592,0.597,
24.663,4.156,4.069,-0.592,0.604,0.617,0.597,0.601,
24.270,4.119,4.041,-0.594,0.606,0.620,0.599,0.603,
24.906,4.120,4.045,-0.596,0.609,0.622,0.602,0.606,
25.312,4.154,4.071,-0.604,0.617,0.631,0.610,0.613,
24.946,4.136,4.033,-0.615,0.629,0.642,0.621,0.624,
23.662,4.072,3.964,-0.619,0.633,0.647,0.624,0.629,
23.706,4.040,3.946,-0.620,0.635,0.649,0.626,0.632,
23.902,4.025,3.932,-0.622,0.637,0.651,0.628,0.634,
24.697,4.069,3.965,-0.627,0.645,0.658,0.636,0.641,
24.115,4.068,4.003,-0.634,0.652,0.666,0.643,0.648,
23.602,4.031,3.956,-0.636,0.653,0.667,0.644,0.650,
23.866,4.022,3.931,-0.638,0.655,0.669,0.647,0.651,
24.497,4.059,3.949,-0.645,0.663,0.678,0.655,0.661,
24.227,4.057,3.946,-0.656,0.674,0.689,0.666,0.671,
23.401,4.007,3.888,-0.660,0.678,0.693,0.669,0.674,
23.119,3.980,3.883,-0.662,0.679,0.695,0.670,0.676,
23.428,3.966,3.874,-0.664,0.681,0.696,0.672,0.677,
24.171,4.005,3.919,-0.670,0.689,0.704,0.680,0.685,
23.727,4.011,3.914,-0.676,0.696,0.711,0.687,0.691,
22.897,3.970,3.862,-0.677,0.697,0.712,0.688,0.692,
23.271,3.956,3.838,-0.678,0.699,0.715,0.689,0.693,
23.990,3.995,3.872,-0.683,0.707,0.722,0.698,0.702,
24.172,4.017,3.927,-0.692,0.718,0.733,0.709,0.711,
23.065,3.983,3.886,-0.695,0.722,0.738,0.714,0.717,
22.869,3.945,3.826,-0.697,0.724,0.740,0.714,0.718,
22.991,3.930,3.840,-0.698,0.726,0.741,0.716,0.720,
23.810,3.962,3.860,-0.703,0.732,0.748,0.723,0.726,
23.329,3.967,3.871,-0.711,0.740,0.755,0.733,0.732,
